frac,val
0.01,-2.52299
0.01,-1.9352065
0.01,1.5572534
0.01,0.42616832
0.01,-2.0334847
0.05,-1.3347344
0.05,-0.1654481
0.05,-0.5919073
0.05,0.101005554
0.05,1.1452253
0.1,-1.661459
0.1,-0.5672931
0.1,0.12844783
0.1,-0.60065144
0.1,0.17292343
0.2,-0.7167376
0.2,-0.30097246
0.2,1.6440855
0.2,-1.5237844
0.2,2.1051264
0.3,-2.4925656
0.3,1.9454454
0.3,-0.24800514
0.3,1.8986523
0.3,0.15379564
0.4,-0.89290345
0.4,-1.6022271
0.4,-0.9124728
0.4,0.6251306
0.4,-0.6064279
0.5,0.14279546
0.5,0.4031472
0.5,0.12719205
0.5,-1.3122877
0.5,0.41913584
1.0,0.5504266
1.0,0.15042385
1.0,0.30478355
1.0,0.092629045
1.0,-0.19396465
