frac,val
0.01,0.772281
0.01,0.7802543
0.01,0.7817513
0.01,0.7754606
0.01,0.77680963
0.05,0.7966727
0.05,0.79832375
0.05,0.7993053
0.05,0.8002001
0.05,0.79969025
0.1,0.8111793
0.1,0.8112958
0.1,0.8122769
0.1,0.80912817
0.1,0.81149274
0.2,0.821958
0.2,0.8215692
0.2,0.8195302
0.2,0.82032466
0.2,0.81706476
0.3,0.82478964
0.3,0.82350564
0.3,0.8248632
0.3,0.8232148
0.3,0.82504535
0.4,0.82897174
0.4,0.82628804
0.4,0.8292501
0.4,0.82791245
0.4,0.8283175
0.5,0.8307038
0.5,0.8304403
0.5,0.83123124
0.5,0.8318582
0.5,0.8301725
1.0,0.8372846
1.0,0.8355145
1.0,0.8360372
1.0,0.8375904
1.0,0.83746326
