frac,val
0.01,32.265327
0.01,31.861122
0.01,31.832972
0.01,32.21338
0.01,32.181236
0.05,30.575945
0.05,30.42889
0.05,30.4268
0.05,30.366415
0.05,30.44971
0.1,29.414234
0.1,29.41903
0.1,29.361454
0.1,29.527514
0.1,29.42312
0.2,28.616226
0.2,28.605915
0.2,28.818563
0.2,28.736372
0.2,28.972198
0.3,28.326838
0.3,28.486624
0.3,28.34517
0.3,28.522545
0.3,28.350208
0.4,28.009933
0.4,28.219545
0.4,27.976986
0.4,28.108084
0.4,28.03431
0.5,27.883963
0.5,27.892445
0.5,27.836256
0.5,27.758238
0.5,27.923588
1.0,27.319994
1.0,27.473742
1.0,27.422867
1.0,27.278503
1.0,27.298273
