frac,val
0.01,-52.261276
0.01,-55.749718
0.01,-48.508434
0.01,-52.615826
0.01,-51.10707
0.1,3.135707
0.1,3.9189055
0.1,5.106447
0.1,8.093986
0.1,4.8220277
0.2,5.9455576
0.2,1.3779892
0.2,5.8081717
0.2,8.818396
0.2,8.569277
0.3,6.8880606
0.3,2.0666983
0.3,5.591909
0.3,3.047479
0.3,3.2946274
0.4,5.4014244
0.4,6.6779923
0.4,0.59689766
0.4,4.0464244
0.4,6.020972
0.5,5.094684
0.5,2.622112
0.5,4.301087
0.5,5.7964597
0.5,5.573468
1.0,6.686681
1.0,5.495014
1.0,6.7519484
1.0,5.3673716
1.0,2.6331315
0.05,-2.3525639
0.05,-4.325376
0.05,-7.254819
0.05,-12.965122
0.05,-2.2145948
