frac,val
0.01,-0.2405591
0.01,-0.36150014
0.01,-0.15144265
0.01,-0.24625301
0.01,-0.2041173
0.1,0.71346986
0.1,0.72340655
0.1,0.71537864
0.1,0.6891805
0.1,0.7110703
0.2,0.7337791
0.2,0.73612404
0.2,0.737947
0.2,0.71785766
0.2,0.7170218
0.3,0.7490002
0.3,0.73294413
0.3,0.7466663
0.3,0.7534666
0.3,0.7445605
0.4,0.7568957
0.4,0.7555566
0.4,0.74944377
0.4,0.75248283
0.4,0.7544652
0.5,0.75839216
0.5,0.7671037
0.5,0.7629005
0.5,0.75867426
0.5,0.75738657
1.0,0.7651719
1.0,0.7733254
1.0,0.7702956
1.0,0.76995337
1.0,0.7720492
0.05,0.70707166
0.05,0.7156148
0.05,0.7048882
0.05,0.67853546
0.05,0.71414435
