frac,val
0.01,-4.4697413
0.01,2.3608108
0.01,-0.01879033
0.01,-3.4071047
0.01,-2.0057836
0.05,-0.4490634
0.05,-2.9986808
0.05,0.12501484
0.05,1.9359299
0.05,0.09973733
0.1,-1.1651372
0.1,-0.36000437
0.1,0.50284356
0.1,0.9475867
0.1,-0.7602316
0.2,-0.71091163
0.2,0.07013248
0.2,-1.4026027
0.2,-1.6973062
0.2,-0.7141748
0.3,0.51185894
0.3,-0.111370474
0.3,0.3722872
0.3,0.65417594
0.3,-0.8858972
0.4,-0.6735177
0.4,1.1403716
0.4,1.083831
0.4,-0.6170613
0.4,-1.0133536
0.5,0.87107325
0.5,0.41325653
0.5,-0.73175293
0.5,1.1164718
0.5,0.4839228
1.0,0.7303692
1.0,-1.3982407
1.0,-0.45690215
1.0,0.5694145
1.0,0.13838264
