frac,val
0.01,0.7871285
0.01,0.7877739
0.01,0.7947265
0.01,0.7934611
0.01,0.79819655
0.05,0.82240945
0.05,0.821172
0.05,0.8220572
0.05,0.8242795
0.05,0.8220331
0.1,0.8274636
0.1,0.827832
0.1,0.83222485
0.1,0.82956654
0.1,0.82977974
0.2,0.8360326
0.2,0.8341462
0.2,0.83370036
0.2,0.83247465
0.2,0.8350742
0.3,0.8365333
0.3,0.8352175
0.3,0.83764625
0.3,0.8379134
0.3,0.838996
0.4,0.84049547
0.4,0.8410274
0.4,0.8396527
0.4,0.8397284
0.4,0.84061474
0.5,0.8418302
0.5,0.8410637
0.5,0.8410865
0.5,0.8409908
0.5,0.84285116
1.0,0.8463479
1.0,0.84592855
1.0,0.8472234
1.0,0.8469559
1.0,0.84639883
