frac,val
0.01,31.257753
0.01,31.200077
0.01,30.956032
0.01,30.914736
0.01,30.551884
0.05,28.665203
0.05,28.759111
0.05,28.704718
0.05,28.497543
0.05,28.706348
0.1,28.206135
0.1,28.205204
0.1,27.880844
0.1,28.076916
0.1,28.071705
0.2,27.533764
0.2,27.669207
0.2,27.709427
0.2,27.785028
0.2,27.590385
0.3,27.530518
0.3,27.559732
0.3,27.380024
0.3,27.371109
0.3,27.255127
0.4,27.136763
0.4,27.131077
0.4,27.2499
0.4,27.221273
0.4,27.131914
0.5,27.057575
0.5,27.094694
0.5,27.093136
0.5,27.097897
0.5,26.937948
1.0,26.642298
1.0,26.626122
1.0,26.553211
1.0,26.59962
1.0,26.653233
